Q8MYY6	Dmel_CG10000
P09090	Dmel_CG1048
P25171	Dmel_CG10480
Q7KT29	Dmel_CG10481
Q9VRR2	Dmel_CG10483
M9ND52	Dmel_CG10486
Q9VTX7	Dmel_CG10488
Q9VRQ7	Dmel_CG10489
Q7K4C7	Dmel_CG1049
Q94918	Dmel_CG10491
Q9VJ08	Dmel_CG10492
Q9VJ07	Dmel_CG10493
M9PBD5	Dmel_CG10493
Q95TZ0	Dmel_CG10494
Q9VJ06	Dmel_CG10495
Q9W2G5	Dmel_CG10496
P49415	Dmel_CG10497
P23573	Dmel_CG10498
E1JIR3	Dmel_CG10498
P18486	Dmel_CG10501
H5V873	Dmel_CG10501
E3CTS5	Dmel_CG10504
Q9W2I5	Dmel_CG10505
Q9Y105	Dmel_CG10506
M9PFU5	Dmel_CG10508
Q9VP67	Dmel_CG10510
Q9VP68	Dmel_CG10512
Q9VBT7	Dmel_CG10513
Q9VBT6	Dmel_CG10514
P22812	Dmel_CG10520
Q24568	Dmel_CG10521
E1JJP7	Dmel_CG10521
Q7KTX7	Dmel_CG10523
Q9W2M4	Dmel_CG10527
M9PG97	Dmel_CG10528
P91942	Dmel_CG10529
C0HL64	Dmel_CG10530
C0HL65	Dmel_CG10530
Q9W2M5	Dmel_CG10531
P92194	Dmel_CG10533
C0HL64	Dmel_CG10534
C0HL65	Dmel_CG10534
Q9VGK7	Dmel_CG10535
Q9VIS1	Dmel_CG10538
M9PDR8	Dmel_CG10538
Q94533	Dmel_CG10539
Q9W2N0	Dmel_CG10540
Q8T3Z0	Dmel_CG10541
Q9VRP9	Dmel_CG10542
X2JGB3	Dmel_CG10542
A0A0B4KFE1	Dmel_CG10543
P26308	Dmel_CG10545
A4V4I0	Dmel_CG10545
Q9VRP8	Dmel_CG10546
Q9VBS7	Dmel_CG10550
Q9VBS4	Dmel_CG10553
Q9W3G1	Dmel_CG10555
Q9VBS5	Dmel_CG10559
A8JQT4	Dmel_CG1056
Q9VBS3	Dmel_CG10560
P18487	Dmel_CG10561
B5RIP2	Dmel_CG10561
Q961Q8	Dmel_CG10562
Q9VIZ2	Dmel_CG10563
M9NG95	Dmel_CG10564
Q9VP77	Dmel_CG10565
Q9VP78	Dmel_CG10566
Q8IH24	Dmel_CG1057
A0A0B4K6R3	Dmel_CG1057
Q9VJ49	Dmel_CG10570
Q24248	Dmel_CG10571
Q9VZZ9	Dmel_CG1044
L7RZC6	Dmel_CG1044
Q9VUW0	Dmel_CG10516
M9PI41	Dmel_CG10522
P25123	Dmel_CG10537
M9PHV2	Dmel_CG10537
Q9VT57	Dmel_CG10572
Q9VP79	Dmel_CG10573
A8JNP7	Dmel_CG10574
Q9VRP4	Dmel_CG10575
Q9VRP2	Dmel_CG10576
Q24133	Dmel_CG10578
Q53ZT0	Dmel_CG10578
Q7KM08	Dmel_CG10579
A0A0B4K691	Dmel_CG1058
Q24342	Dmel_CG10580
Q9VP84	Dmel_CG10581
E1JI58	Dmel_CG10582
Q9VRN6	Dmel_CG10583
Q9VP86	Dmel_CG10584
Q9VP87	Dmel_CG10585
Q9VP95	Dmel_CG10586
B7Z091	Dmel_CG10587
Q9VP94	Dmel_CG10588
Q9VP96	Dmel_CG10589
Q9VN44	Dmel_CG1059
Q9VRN1	Dmel_CG10590
Q9VRN0	Dmel_CG10591
Q9VRM8	Dmel_CG10592
Q9VLJ6	Dmel_CG10593
M9PCE8	Dmel_CG10593
Q9VRM7	Dmel_CG10594
H8F4V5	Dmel_CG10594
X2JCI8	Dmel_CG10596
B7Z101	Dmel_CG10597
Q9VX65	Dmel_CG10598
B7YZX6	Dmel_CG10600
M9PI45	Dmel_CG10601
Q9VJ39	Dmel_CG10602
Q9VJ38	Dmel_CG10603
Q04787	Dmel_CG10604
P54269	Dmel_CG10605
Q9VNB5	Dmel_CG10609
Q9U6M0	Dmel_CG10610
B6IDJ7	Dmel_CG10610
Q9VNB3	Dmel_CG10612
Q9VTX8	Dmel_CG10616
C8VV60	Dmel_CG10616
Q9VYE1	Dmel_CG10617
Q107I8	Dmel_CG10618
Q9VJ37	Dmel_CG10619
Q9VTZ5	Dmel_CG10620
Q9VJ32	Dmel_CG10621
Q9V470	Dmel_CG10622
Q9VJ31	Dmel_CG10623
Q9VRM3	Dmel_CG10624
Q86NR7	Dmel_CG10625
Q9VRM0	Dmel_CG10626
Q9VTZ4	Dmel_CG10627
Q9I7M2	Dmel_CG10628
P29993	Dmel_CG1063
Q9VRL8	Dmel_CG10630
Q9VIS5	Dmel_CG10631
B7Z0A9	Dmel_CG10632
Q9VRL4	Dmel_CG10633
Q9VRL3	Dmel_CG10635
A0A1B2AKD0	Dmel_CG10635
X2J946	Dmel_CG10637
Q9VTY2	Dmel_CG10638
Q9VJ28	Dmel_CG10639
Q24090	Dmel_CG1064
Q9VRL1	Dmel_CG10640
Q9VJ26	Dmel_CG10641
X2J6X1	Dmel_CG10641
Q9VRK9	Dmel_CG10642
Q9VRK8	Dmel_CG10645
I0E2J7	Dmel_CG10645
Q9VTY5	Dmel_CG10646
Q9W3B2	Dmel_CG10648
Q9VJ22	Dmel_CG10650
Q9VIN6	Dmel_CG10651
Q9VJ19	Dmel_CG10652
Q24185	Dmel_CG10653
M9PFA9	Dmel_CG10654
Q9VJ10	Dmel_CG10655
Q9VTY1	Dmel_CG10657
Q9VIQ4	Dmel_CG10658
Q9VIQ1	Dmel_CG10659
M9PI40	Dmel_CG10660
A8JNS0	Dmel_CG10663
Q9VIQ8	Dmel_CG10664
O16810	Dmel_CG10667
Q9VBR9	Dmel_CG10669
Q9VRJ0	Dmel_CG10670
Q9VRJ2	Dmel_CG10671
Q9VRJ4	Dmel_CG10672
Q9VRJ6	Dmel_CG10673
Q9VRJ8	Dmel_CG10674
Q9VBS0	Dmel_CG10675
Q9VJ33	Dmel_CG10679
X2J935	Dmel_CG10679
Q9VIQ5	Dmel_CG10680
Q9VTY4	Dmel_CG10681
M9PFF6	Dmel_CG10681
Q9VTY6	Dmel_CG10682
Q7JXA8	Dmel_CG10683
Q9VIZ0	Dmel_CG10685
A0A1B2AKR4	Dmel_CG10685
Q9VTZ0	Dmel_CG10686
Q9V434	Dmel_CG10687
Q9VTZ6	Dmel_CG10688
Q9VIZ3	Dmel_CG10689
P24156	Dmel_CG10691
A0A023GQA5	Dmel_CG10691
Q9VKB3	Dmel_CG10692
Q03720	Dmel_CG10693
Q9VCD5	Dmel_CG10694
M9PGT5	Dmel_CG10695
P05031	Dmel_CG10697
F0JAJ6	Dmel_CG10697
M9PF00	Dmel_CG10698
Q9VJ00	Dmel_CG10699
A8JQU6	Dmel_CG1070
Q9VJ03	Dmel_CG10700
P46150	Dmel_CG10701
M9NG50	Dmel_CG10701
Q9VJ04	Dmel_CG10702
Q9VGR1	Dmel_CG10703
M9PFA4	Dmel_CG10704
Q7KVW5	Dmel_CG10706
O77051	Dmel_CG1071
X2J9B3	Dmel_CG1071
Q9VU89	Dmel_CG10710
Q9VU87	Dmel_CG10711
Q86BS3	Dmel_CG10712
Q9VU71	Dmel_CG10713
Q6NL75	Dmel_CG10717
Q9VIP4	Dmel_CG10718
Q8MQJ9	Dmel_CG10719
E8NHB3	Dmel_CG10719
Q8IRC7	Dmel_CG1072
Q94522	Dmel_CG1065
M9MRQ9	Dmel_CG1065
Q9VIP2	Dmel_CG10721
Q9VIP0	Dmel_CG10722
Q9V3B5	Dmel_CG10723
Q9VU68	Dmel_CG10724
Q8IQJ4	Dmel_CG10725
Q9VIP9	Dmel_CG10726
Q9VIP8	Dmel_CG10728
Q9VIP6	Dmel_CG10730
A1ZAA9	Dmel_CG10731
M9PFI2	Dmel_CG10732
Q9VRU2	Dmel_CG10733
Q29QS8	Dmel_CG10734
Q7YTZ4	Dmel_CG10737
C7LAF5	Dmel_CG10738
Q24118	Dmel_CG10739
Q960G1	Dmel_CG1074
Q8IQJ9	Dmel_CG10741
Q9W4X6	Dmel_CG10742
Q9VU88	Dmel_CG10743
Q9VIP3	Dmel_CG10747
Q9VU28	Dmel_CG10748
Q9VU29	Dmel_CG10749
X2J6Y3	Dmel_CG10750
Q7KMS3	Dmel_CG10751
Q9VU26	Dmel_CG10752
Q9VU02	Dmel_CG10753
Q9VU15	Dmel_CG10754
O46054	Dmel_CG10755
Q9VIP1	Dmel_CG10756
Q9VIN9	Dmel_CG10757
Q9W3I5	Dmel_CG10759
E2E4R7	Dmel_CG10759
Q9VNL3	Dmel_CG1076
Q9W3I6	Dmel_CG10761
Q9W3J1	Dmel_CG10763
A1ZAT2	Dmel_CG10764
Q9VNL6	Dmel_CG1077
P26016	Dmel_CG10772
Q9W3M7	Dmel_CG10777
Q9W3M6	Dmel_CG10778
Q9VN31	Dmel_CG1078
P23938	Dmel_CG10781
P40140	Dmel_CG10788
P40141	Dmel_CG10789
C9QPH2	Dmel_CG10789
Q9VZL8	Dmel_CG1079
P26023	Dmel_CG10790
Q9V3N5	Dmel_CG10793
A1ZBF6	Dmel_CG10794
Q9W2H1	Dmel_CG10795
Q9W4S7	Dmel_CG10798
M9PGK0	Dmel_CG10798
A1Z9B5	Dmel_CG10799
Q9VM76	Dmel_CG10800
M9PIY5	Dmel_CG10801
M9PGD7	Dmel_CG10802
M9PGK9	Dmel_CG10803
B7Z122	Dmel_CG10804
Q9VM75	Dmel_CG10805
Q7KTL6	Dmel_CG10806
Q7JYV2	Dmel_CG10808
Q9VT59	Dmel_CG10809
Q9VND8	Dmel_CG1081
H1ZYG4	Dmel_CG1081
A8DZ29	Dmel_CG10811
Q7K4A8	Dmel_CG10814
P36193	Dmel_CG10816
A0A0B4K7Q5	Dmel_CG10816
Q9VIC0	Dmel_CG1082
Q4QPW2	Dmel_CG10822
Q8IN35	Dmel_CG10823
Q9VDD5	Dmel_CG10824
Q8SZZ8	Dmel_CG10825
Q9VDG4	Dmel_CG10827
Q9VDH3	Dmel_CG10830
Q9VMT5	Dmel_CG10833
Q9V9P1	Dmel_CG10834
Q7PLL3	Dmel_CG10837
Q9VQA6	Dmel_CG10838
Q9V3Q0	Dmel_CG10839
Q9VN14	Dmel_CG1084
Q9VZP5	Dmel_CG10840
A0A0B4K6G7	Dmel_CG10841
Q9V558	Dmel_CG10842
Q9V559	Dmel_CG10843
Q24498	Dmel_CG10844
Q9VC13	Dmel_CG10845
Q9VJQ6	Dmel_CG10846
Q8MSX1	Dmel_CG10847
Q9VZL3	Dmel_CG10849
Q9VZL2	Dmel_CG10850
P26686	Dmel_CG10851
A0A0C4DHG5	Dmel_CG10851
O46200	Dmel_CG10852
A0A0S0WIC6	Dmel_CG10852
Q9VZK6	Dmel_CG10853
Q8SX86	Dmel_CG10855
Q9VZN1	Dmel_CG10858
Q9VJY4	Dmel_CG10859
Q9VTU1	Dmel_CG10861
Q9I7T6	Dmel_CG10862
Q9Y112	Dmel_CG10863
Q9VE68	Dmel_CG10864
Q9VZK9	Dmel_CG10866
Q8IHC3	Dmel_CG10868
Q9VQ22	Dmel_CG10869
E4NKL4	Dmel_CG10874
Q9VDL4	Dmel_CG10877
P54611	Dmel_CG1088
A0A0B4LGS4	Dmel_CG1088
M9PB07	Dmel_CG10880
Q9VDM6	Dmel_CG10881
F3YDD7	Dmel_CG10881
Q9VQ94	Dmel_CG10882
Q9VDP7	Dmel_CG10887
P04950	Dmel_CG10888
Q8T0D9	Dmel_CG10889
A0A0B4K6V8	Dmel_CG1089
Q4U2Q5	Dmel_CG10890
O61267	Dmel_CG10895
A8DYA3	Dmel_CG10897
Q9VGM4	Dmel_CG10898
C8VV79	Dmel_CG10899
Q9VN12	Dmel_CG1090
A0A0B4KGG6	Dmel_CG1090
P25158	Dmel_CG10901
Q9VHW6	Dmel_CG10903
Q9W1E7	Dmel_CG10904
Q9VTN7	Dmel_CG10907
Q9VQ57	Dmel_CG10908
M9PBP5	Dmel_CG10908
Q9VG21	Dmel_CG10909
Q9VI58	Dmel_CG1091
A1ZB18	Dmel_CG10910
Q7JW48	Dmel_CG10911
Q7K1H9	Dmel_CG10912
Q7JV69	Dmel_CG10913
Q8SZ15	Dmel_CG10914
Q8SX68	Dmel_CG10915
A0A0B4LFS3	Dmel_CG10915
Q7K1R6	Dmel_CG10916
P54360	Dmel_CG10917
Q9VRI3	Dmel_CG10918
Q9VI03	Dmel_CG10919
Q9VMZ9	Dmel_CG1092
Q9W3P6	Dmel_CG10920
P40796	Dmel_CG10922
M9ZVK8	Dmel_CG10922
M9PF35	Dmel_CG10923
A8DYI3	Dmel_CG10924
Q7K157	Dmel_CG10927
P11612	Dmel_CG10930
A0A0B4LFR7	Dmel_CG10930
Q1RKU8	Dmel_CG10931
Q9W3N9	Dmel_CG10932
A1ZAY1	Dmel_CG10933
Q7K1B3	Dmel_CG10934
Q7JWM6	Dmel_CG10936
Q95083	Dmel_CG10938
Q7K5M6	Dmel_CG10939
Q9VU21	Dmel_CG10943
P29327	Dmel_CG10944
H1ZYF1	Dmel_CG10944
Q9W3N2	Dmel_CG10946
A4V0X6	Dmel_CG10947
Q8IQH5	Dmel_CG10948
Q9VIM6	Dmel_CG10949
A1ZAR6	Dmel_CG10950
Q9VC32	Dmel_CG10951
Q02280	Dmel_CG10952
Q7JQV9	Dmel_CG10953
Q9VIM5	Dmel_CG10954
X2JAI2	Dmel_CG10954
Q9W261	Dmel_CG10955
H0RNK7	Dmel_CG10955
Q4V3G2	Dmel_CG10956
Q9W3J8	Dmel_CG10958
M9PHD3	Dmel_CG10959
Q9VU17	Dmel_CG10960
Q9W3I9	Dmel_CG10961
Q8IRN0	Dmel_CG10962
Q9W3H4	Dmel_CG10964
Q9W3G9	Dmel_CG10965
Q8MQJ7	Dmel_CG10967
Q9VU11	Dmel_CG10969
Q9W3A0	Dmel_CG10970
Q8MQJ8	Dmel_CG10971
Q9W250	Dmel_CG10972
Q95RI2	Dmel_CG10973
P16620	Dmel_CG10975
Q7K1V5	Dmel_CG10978
E2QD00	Dmel_CG10978
Q9VNI5	Dmel_CG10979
Q9Y0Y6	Dmel_CG1098
A0A126GUQ5	Dmel_CG1098
A0A0B4LHT4	Dmel_CG10981
Q8T0E7	Dmel_CG10984
P54362	Dmel_CG10986
Q9XYP8	Dmel_CG10988
Q1WWC9	Dmel_CG1099
Q9VY91	Dmel_CG10990
Q9VY87	Dmel_CG10992
Q9VY84	Dmel_CG10993
Q9VY83	Dmel_CG10996
Q9VY78	Dmel_CG10997
Q9VRD3	Dmel_CG10998
Q9V3Z4	Dmel_CG1100
Q9VNI6	Dmel_CG11000
P48375	Dmel_CG11001
H0RN81	Dmel_CG11001
M9PI47	Dmel_CG11006
