"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p_adjust" "qvalue" "geneID" "Count"
"GO:0071407" "BP" "GO:0071407" "cellular response to organic cyclic compound" 0.101626016260163 "295/25784" 1.18161174823551e-16 7.43341208889978e-15 5.45011351817721e-15 "AT2G41640/AT4G36500/AT5G19240/AT3G52400/AT3G50930/AT4G29780/AT1G70090/AT2G25735/AT2G39650/AT4G14365/AT5G16200/AT5G25930/AT5G64310/AT5G47960/AT3G56400/AT1G25400/AT3G11820/AT1G03730/AT2G32030/AT3G54000/AT4G38940/AT4G22980/AT1G11050/AT2G27500/AT2G41410" 25
"GO:0071446" "BP" "GO:0071446" "cellular response to salicylic acid stimulus" 0.0731707317073171 "136/25784" 1.03032516028452e-15 5.94154175764071e-14 4.35628708120295e-14 "AT4G36500/AT5G19240/AT3G52400/AT3G50930/AT4G29780/AT1G70090/AT2G39650/AT4G14365/AT5G16200/AT5G64310/AT5G47960/AT3G56400/AT1G25400/AT3G11820/AT3G54000/AT4G22980/AT1G11050/AT2G41410" 18
"GO:0045087" "BP" "GO:0045087" "innate immune response" 0.0853658536585366 "237/25784" 1.48384936780926e-14 7.89864432710777e-13 5.79121777557947e-13 "AT5G50260/AT2G23270/AT5G57220/AT5G37770/AT5G05300/AT3G52400/AT3G50930/AT4G12720/AT1G18570/AT3G30720/AT3G18690/AT5G61900/AT5G47220/AT3G56400/AT3G11820/AT4G39030/AT4G37290/AT3G15210/AT3G04210/AT1G53440/AT1G73080" 21
"GO:0002237" "BP" "GO:0002237" "response to molecule of bacterial origin" 0.0650406504065041 "117/25784" 2.46950801655408e-14 1.22064253389673e-12 8.94964559382756e-13 "AT5G26920/AT5G52750/AT3G50930/AT1G80840/AT2G32140/AT2G25735/AT4G14365/AT5G25930/AT5G41740/AT4G31800/AT4G23610/AT1G25400/AT1G55450/AT2G39660/AT5G52760/AT4G22710" 16
"GO:0042430" "BP" "GO:0042430" "indole-containing compound metabolic process" 0.0731707317073171 "185/25784" 2.39246690199396e-13 1.10372473078655e-11 8.09241436323572e-12 "AT3G13310/AT5G57220/AT4G34410/AT1G18570/AT1G21120/AT2G46330/AT2G38470/AT2G40000/AT2G39650/AT1G73500/AT5G25930/AT5G57890/AT3G56400/AT3G45640/AT3G02800/AT2G32030/AT1G11050/AT1G53440" 18
"GO:0009863" "BP" "GO:0009863" "salicylic acid mediated signaling pathway" 0.0569105691056911 "106/25784" 1.7340499745427e-12 7.49976613989719e-11 5.49876373506305e-11 "AT5G19240/AT3G52400/AT3G50930/AT1G70090/AT2G39650/AT4G14365/AT5G16200/AT5G64310/AT5G47960/AT3G56400/AT3G11820/AT3G54000/AT1G11050/AT2G41410" 14
"GO:0009873" "BP" "GO:0009873" "ethylene-activated signaling pathway" 0.0528455284552846 "105/25784" 2.53536403933351e-11 1.03204230306988e-09 7.56684499664862e-10 "AT2G41640/AT1G73540/AT5G47230/AT4G29780/AT4G27652/AT1G28370/AT2G44840/AT4G17490/AT1G73500/AT5G47220/AT3G56400/AT1G25560/AT3G15210" 13
"GO:0071369" "BP" "GO:0071369" "cellular response to ethylene stimulus" 0.0528455284552846 "122/25784" 1.72842527712639e-10 6.64483495428591e-09 4.87193557646153e-09 "AT2G41640/AT1G73540/AT5G47230/AT4G29780/AT4G27652/AT1G28370/AT2G44840/AT4G17490/AT1G73500/AT5G47220/AT3G56400/AT1G25560/AT3G15210" 13
"GO:0000160" "BP" "GO:0000160" "phosphorelay signal transduction system" 0.0528455284552846 "130/25784" 3.84846716683925e-10 1.40165225234356e-08 1.02767932100638e-08 "AT2G41640/AT1G73540/AT5G47230/AT4G29780/AT4G27652/AT1G28370/AT2G44840/AT4G17490/AT1G73500/AT5G47220/AT3G56400/AT1G25560/AT3G15210" 13
"GO:0009966" "BP" "GO:0009966" "regulation of signal transduction" 0.0813008130081301 "420/25784" 4.65123654828815e-09 1.6093278457077e-07 1.17994527172362e-07 "AT3G59940/AT5G26920/AT4G34410/AT4G09570/AT1G19180/AT1G30135/AT1G17380/AT2G34600/AT4G14365/AT4G37260/AT5G16200/AT5G25930/AT3G56400/AT3G50060/AT4G23810/AT1G03730/AT5G58430/AT3G15210/AT1G19770/AT1G09950" 20
"GO:0023051" "BP" "GO:0023051" "regulation of signaling" 0.0813008130081301 "429/25784" 6.6527159545614e-09 2.1922283050269e-07 1.60732285217975e-07 "AT3G59940/AT5G26920/AT4G34410/AT4G09570/AT1G19180/AT1G30135/AT1G17380/AT2G34600/AT4G14365/AT4G37260/AT5G16200/AT5G25930/AT3G56400/AT3G50060/AT4G23810/AT1G03730/AT5G58430/AT3G15210/AT1G19770/AT1G09950" 20
"GO:0002831" "BP" "GO:0002831" "regulation of response to biotic stimulus" 0.0569105691056911 "197/25784" 7.21825847423953e-09 2.27047039280625e-07 1.66468927492031e-07 "AT4G31870/AT5G26920/AT5G39670/AT5G05300/AT3G52400/AT4G12720/AT3G18690/AT1G80840/AT5G47220/AT3G56400/AT4G31800/AT3G11820/AT2G39660/AT3G15210" 14
"GO:0000302" "BP" "GO:0000302" "response to reactive oxygen species" 0.0528455284552846 "166/25784" 7.83018177725093e-09 2.32774279318676e-07 1.70668090404019e-07 "AT4G35000/AT5G37770/AT5G05300/AT4G12720/AT3G02840/AT4G17490/AT5G42380/AT3G56400/AT4G23810/AT3G10930/AT3G28580/AT1G72520/AT5G05410" 13
"GO:0009409" "BP" "GO:0009409" "response to cold" 0.0853658536585366 "479/25784" 8.07309639255524e-09 2.32774279318676e-07 1.70668090404019e-07 "AT3G22840/AT1G80820/AT1G73540/AT5G59820/AT5G57560/AT5G47230/AT5G37770/AT5G35735/AT4G29780/AT3G08720/AT1G29670/AT1G23710/AT2G38470/AT4G14365/AT3G45640/AT4G34150/AT3G23250/AT1G27730/AT1G08930/AT3G61190/AT2G40140" 21
"GO:0050776" "BP" "GO:0050776" "regulation of immune response" 0.0447154471544715 "111/25784" 9.74712840420161e-09 2.69800514228301e-07 1.97815405929481e-07 "AT5G05300/AT3G52400/AT4G12720/AT3G18690/AT5G47220/AT5G01540/AT3G56400/AT3G11820/AT1G67470/AT2G39660/AT3G15210" 11
"GO:0010646" "BP" "GO:0010646" "regulation of cell communication" 0.0813008130081301 "440/25784" 1.01753403843709e-08 2.70820597922486e-07 1.98563322480436e-07 "AT3G59940/AT5G26920/AT4G34410/AT4G09570/AT1G19180/AT1G30135/AT1G17380/AT2G34600/AT4G14365/AT4G37260/AT5G16200/AT5G25930/AT3G56400/AT3G50060/AT4G23810/AT1G03730/AT5G58430/AT3G15210/AT1G19770/AT1G09950" 20
"GO:0035556" "BP" "GO:0035556" "intracellular signal transduction" 0.0853658536585366 "489/25784" 1.1557349907199e-08 2.96210597621545e-07 2.17179050887716e-07 "AT5G52830/AT2G41640/AT1G73540/AT5G47910/AT5G47230/AT3G57530/AT4G29780/AT4G27652/AT4G09570/AT1G51660/AT1G28370/AT2G44840/AT4G17490/AT1G73500/AT5G47220/AT3G56400/AT3G45640/AT1G25560/AT1G01560/AT3G15210/AT2G17290" 21
"GO:0032101" "BP" "GO:0032101" "regulation of response to external stimulus" 0.0569105691056911 "212/25784" 1.83886580551671e-08 4.54462549077701e-07 3.33208014383103e-07 "AT4G31870/AT5G26920/AT5G39670/AT5G05300/AT3G52400/AT4G12720/AT3G18690/AT1G80840/AT5G47220/AT3G56400/AT4G31800/AT3G11820/AT2G39660/AT3G15210" 14
"GO:0009867" "BP" "GO:0009867" "jasmonic acid mediated signaling pathway" 0.0528455284552846 "182/25784" 2.36411987347873e-08 5.64127914636993e-07 4.13613712891741e-07 "AT4G36500/AT3G52400/AT1G19180/AT1G30135/AT1G17380/AT2G34600/AT4G14365/AT5G47220/AT3G56400/AT4G23810/AT3G16860/AT3G11820/AT3G15210" 13
"GO:0009723" "BP" "GO:0009723" "response to ethylene" 0.0609756097560976 "260/25784" 3.44952995362432e-08 7.95691575969344e-07 5.83394188648043e-07 "AT2G41640/AT1G73540/AT5G47230/AT4G29780/AT4G27652/AT4G11280/AT1G28370/AT2G44840/AT4G17490/AT1G73500/AT5G47220/AT3G56400/AT1G25560/AT3G50480/AT3G15210" 15
"GO:0071395" "BP" "GO:0071395" "cellular response to jasmonic acid stimulus" 0.0528455284552846 "189/25784" 3.70157552603256e-08 8.26287181940172e-07 6.0582662259684e-07 "AT4G36500/AT3G52400/AT1G19180/AT1G30135/AT1G17380/AT2G34600/AT4G14365/AT5G47220/AT3G56400/AT4G23810/AT3G16860/AT3G11820/AT3G15210" 13
"GO:0071398" "BP" "GO:0071398" "cellular response to fatty acid" 0.0528455284552846 "193/25784" 4.74131246697621e-08 1.02530882098361e-06 7.51747568777149e-07 "AT4G36500/AT3G52400/AT1G19180/AT1G30135/AT1G17380/AT2G34600/AT4G14365/AT5G47220/AT3G56400/AT4G23810/AT3G16860/AT3G11820/AT3G15210" 13
"GO:0009627" "BP" "GO:0009627" "systemic acquired resistance" 0.0447154471544715 "133/25784" 6.46458580025842e-08 1.35560405266025e-06 9.93917178859509e-07 "AT2G41640/AT5G26920/AT5G52750/AT2G25735/AT2G38470/AT4G14365/AT5G41740/AT3G56400/AT4G23610/AT3G04210/AT3G01830" 11
"GO:2000022" "BP" "GO:2000022" "regulation of jasmonic acid mediated signaling pathway" 0.0284552845528455 "44/25784" 1.87417290631274e-07 3.8144930916718e-06 2.7967533772221e-06 "AT1G19180/AT1G30135/AT1G17380/AT2G34600/AT4G14365/AT3G56400/AT4G23810" 7
"GO:0045088" "BP" "GO:0045088" "regulation of innate immune response" 0.032520325203252 "82/25784" 1.18852404531539e-06 2.34988182673785e-05 1.72291305215644e-05 "AT5G05300/AT3G52400/AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G11820/AT3G15210" 8
"GO:0042435" "BP" "GO:0042435" "indole-containing compound biosynthetic process" 0.0284552845528455 "71/25784" 5.22585521564711e-06 0.000100452550256328 7.36509419281259e-05 "AT5G57220/AT1G18570/AT2G38470/AT1G73500/AT5G57890/AT3G56400/AT3G45640" 7
"GO:0048584" "BP" "GO:0048584" "positive regulation of response to stimulus" 0.0487804878048781 "260/25784" 8.33489021899923e-06 0.000155884973825607 0.000114293515947585 "AT4G31870/AT5G26920/AT4G12720/AT4G09570/AT3G18690/AT4G37260/AT5G61900/AT5G47220/AT3G56400/AT3G50060/AT5G58430/AT3G15210" 12
"GO:0009408" "BP" "GO:0009408" "response to heat" 0.0528455284552846 "315/25784" 1.1666574146253e-05 0.000212454455505449 0.000155769771149417 "AT3G22840/AT5G59820/AT5G57560/AT5G47910/AT5G37770/AT3G08720/AT2G38470/AT5G64310/AT5G51190/AT5G05410/AT3G61190/AT3G19130/AT1G67970" 13
"GO:0002218" "BP" "GO:0002218" "activation of innate immune response" 0.0203252032520325 "32/25784" 1.2383983986424e-05 0.000214242922965136 0.000157081060038326 "AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G15210" 5
"GO:0009682" "BP" "GO:0009682" "induced systemic resistance" 0.0203252032520325 "32/25784" 1.2383983986424e-05 0.000214242922965136 0.000157081060038326 "AT5G57220/AT1G18570/AT5G47220/AT3G56400/AT3G15210" 5
"GO:0010193" "BP" "GO:0010193" "response to ozone" 0.0203252032520325 "33/25784" 1.44823055149675e-05 0.000244433058935549 0.000179216206886119 "AT4G12720/AT3G02840/AT5G42380/AT4G23810/AT1G72520" 5
"GO:0010120" "BP" "GO:0010120" "camalexin biosynthetic process" 0.016260162601626 "17/25784" 1.74537498533896e-05 0.000280883602291758 0.000205941430338648 "AT2G38470/AT1G73500/AT3G56400/AT3G45640" 4
"GO:0052317" "BP" "GO:0052317" "camalexin metabolic process" 0.016260162601626 "17/25784" 1.74537498533896e-05 0.000280883602291758 0.000205941430338648 "AT2G38470/AT1G73500/AT3G56400/AT3G45640" 4
"GO:0002253" "BP" "GO:0002253" "activation of immune response" 0.0203252032520325 "35/25784" 1.95033991608007e-05 0.000306735277710775 0.000224895655394879 "AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G15210" 5
"GO:0090693" "BP" "GO:0090693" "plant organ senescence" 0.0447154471544715 "245/25784" 2.561897695116e-05 0.00039396293444895 0.000288850219659863 "AT4G36040/AT2G25625/AT4G01250/AT2G32140/AT4G14365/AT1G73500/AT5G25930/AT5G63130/AT3G56400/AT4G23810/AT4G01870" 11
"GO:0002252" "BP" "GO:0002252" "immune effector process" 0.016260162601626 "19/25784" 2.80009989037138e-05 0.000412270026412127 0.000302272821312207 "AT5G47220/AT3G56400/AT3G15210/AT3G11840" 4
"GO:0042343" "BP" "GO:0042343" "indole glucosinolate metabolic process" 0.016260162601626 "19/25784" 2.80009989037138e-05 0.000412270026412127 0.000302272821312207 "AT5G57220/AT1G18570/AT1G21120/AT3G56400" 4
"GO:0009411" "BP" "GO:0009411" "response to UV" 0.032520325203252 "128/25784" 3.27247220000542e-05 0.000445180659088496 0.000326402612839451 "AT3G22840/AT1G35210/AT5G26920/AT5G59820/AT3G50930/AT2G22880/AT3G45640/AT5G05410" 8
"GO:0044550" "BP" "GO:0044550" "secondary metabolite biosynthetic process" 0.040650406504065 "208/25784" 3.35498839447112e-05 0.000445180659088496 0.000326402612839451 "AT5G05980/AT4G34050/AT1G80820/AT5G57220/AT1G18570/AT2G38470/AT1G73500/AT3G56400/AT3G55950/AT3G45640" 10
"GO:0009403" "BP" "GO:0009403" "toxin biosynthetic process" 0.016260162601626 "20/25784" 3.47395312005474e-05 0.000445180659088496 0.000326402612839451 "AT2G38470/AT1G73500/AT3G56400/AT3G45640" 4
"GO:0009700" "BP" "GO:0009700" "indole phytoalexin biosynthetic process" 0.016260162601626 "20/25784" 3.47395312005474e-05 0.000445180659088496 0.000326402612839451 "AT2G38470/AT1G73500/AT3G56400/AT3G45640" 4
"GO:0046217" "BP" "GO:0046217" "indole phytoalexin metabolic process" 0.016260162601626 "20/25784" 3.47395312005474e-05 0.000445180659088496 0.000326402612839451 "AT2G38470/AT1G73500/AT3G56400/AT3G45640" 4
"GO:0052314" "BP" "GO:0052314" "phytoalexin metabolic process" 0.016260162601626 "20/25784" 3.47395312005474e-05 0.000445180659088496 0.000326402612839451 "AT2G38470/AT1G73500/AT3G56400/AT3G45640" 4
"GO:0052315" "BP" "GO:0052315" "phytoalexin biosynthetic process" 0.016260162601626 "20/25784" 3.47395312005474e-05 0.000445180659088496 0.000326402612839451 "AT2G38470/AT1G73500/AT3G56400/AT3G45640" 4
"GO:0048585" "BP" "GO:0048585" "negative regulation of response to stimulus" 0.0447154471544715 "256/25784" 3.82741875478898e-05 0.000481558868784358 0.000353074801877184 "AT3G59940/AT5G39670/AT3G52400/AT4G37260/AT3G10930/AT3G11820/AT3G61190/AT4G39030/AT3G15210/AT1G19770/AT1G09950" 11
"GO:0031349" "BP" "GO:0031349" "positive regulation of defense response" 0.0284552845528455 "97/25784" 4.09135717288739e-05 0.000505574850649656 0.000370683112280399 "AT4G31870/AT4G12720/AT3G18690/AT5G61900/AT5G47220/AT3G56400/AT3G15210" 7
"GO:0009612" "BP" "GO:0009612" "response to mechanical stimulus" 0.016260162601626 "22/25784" 5.16687802913954e-05 0.000627277122134134 0.000459914166213344 "AT5G57560/AT5G37770/AT4G11280/AT2G41100" 4
"GO:0060548" "BP" "GO:0060548" "negative regulation of cell death" 0.0203252032520325 "43/25784" 5.43464609560739e-05 0.000648409499682813 0.000475408242846236 "AT5G47910/AT3G52400/AT5G25930/AT5G61900/AT3G11820" 5
"GO:0009626" "BP" "GO:0009626" "plant-type hypersensitive response" 0.024390243902439 "71/25784" 6.05225899323697e-05 0.000701686696550648 0.000514470623269565 "AT5G50260/AT3G52400/AT3G50930/AT4G12720/AT5G61900/AT3G11820" 6
"GO:0045089" "BP" "GO:0045089" "positive regulation of innate immune response" 0.0203252032520325 "44/25784" 6.08398869841602e-05 0.000701686696550648 0.000514470623269565 "AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G15210" 5
"GO:0010150" "BP" "GO:0010150" "leaf senescence" 0.040650406504065 "229/25784" 7.52958156572419e-05 0.000839657926080981 0.000615629936676351 "AT4G36040/AT2G25625/AT4G01250/AT4G14365/AT1G73500/AT5G25930/AT5G63130/AT3G56400/AT4G23810/AT4G01870" 10
"GO:0010224" "BP" "GO:0010224" "response to UV-B" 0.024390243902439 "74/25784" 7.64428458715344e-05 0.000839657926080981 0.000615629936676351 "AT1G35210/AT5G26920/AT5G59820/AT2G22880/AT3G45640/AT5G05410" 6
"GO:0034050" "BP" "GO:0034050" "programmed cell death induced by symbiont" 0.024390243902439 "74/25784" 7.64428458715344e-05 0.000839657926080981 0.000615629936676351 "AT5G50260/AT3G52400/AT3G50930/AT4G12720/AT5G61900/AT3G11820" 6
"GO:0051702" "BP" "GO:0051702" "biological process involved in interaction with symbiont" 0.024390243902439 "75/25784" 8.24334345319772e-05 0.000880272292595041 0.000645408039292379 "AT5G50260/AT3G52400/AT3G50930/AT4G12720/AT5G61900/AT3G11820" 6
"GO:0002684" "BP" "GO:0002684" "positive regulation of immune system process" 0.0203252032520325 "47/25784" 8.39566059411455e-05 0.000880272292595041 0.000645408039292379 "AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G15210" 5
"GO:0050778" "BP" "GO:0050778" "positive regulation of immune response" 0.0203252032520325 "47/25784" 8.39566059411455e-05 0.000880272292595041 0.000645408039292379 "AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G15210" 5
"GO:0008219" "BP" "GO:0008219" "cell death" 0.040650406504065 "233/25784" 8.69176869473289e-05 0.000897717005485845 0.000658198352059898 "AT5G50260/AT5G47910/AT3G52400/AT3G50930/AT4G12720/AT1G72940/AT1G23710/AT5G25930/AT5G61900/AT3G11820" 10
"GO:0009864" "BP" "GO:0009864" "induced systemic resistance, jasmonic acid mediated signaling pathway" 0.0121951219512195 "10/25784" 9.79791835984144e-05 0.00099708228014857 0.000731052112916962 "AT5G47220/AT3G56400/AT3G15210" 3
"GO:0009404" "BP" "GO:0009404" "toxin metabolic process" 0.0284552845528455 "115/25784" 0.00012069511532443 0.00121044956238414 0.000887491160737994 "AT2G38470/AT1G73500/AT3G56400/AT3G45640/AT3G02800/AT1G74590/AT4G01870" 7
"GO:0002833" "BP" "GO:0002833" "positive regulation of response to biotic stimulus" 0.024390243902439 "84/25784" 0.000154947882394446 0.00153177049452796 0.0011230808919417 "AT4G31870/AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G15210" 6
"GO:0010087" "BP" "GO:0010087" "phloem or xylem histogenesis" 0.032520325203252 "160/25784" 0.000157239277916394 0.00153252930025556 0.00112363724174503 "AT4G17500/AT5G61600/AT4G34410/AT4G11280/AT1G28370/AT4G17490/AT5G47220/AT1G74930" 8
"GO:0010565" "BP" "GO:0010565" "regulation of cellular ketone metabolic process" 0.0284552845528455 "121/25784" 0.000165734046987723 0.00159288834049312 0.00116789196853922 "AT2G41640/AT1G56660/AT5G26920/AT5G19240/AT4G34410/AT1G23710/AT2G41010" 7
"GO:0012501" "BP" "GO:0012501" "programmed cell death" 0.032520325203252 "163/25784" 0.000178624976066711 0.00169326689641321 0.00124148865845934 "AT5G50260/AT5G47910/AT3G52400/AT3G50930/AT4G12720/AT1G23710/AT5G61900/AT3G11820" 8
"GO:0032103" "BP" "GO:0032103" "positive regulation of response to external stimulus" 0.024390243902439 "88/25784" 0.000200138869961752 0.00187156889207477 0.00137221814113179 "AT4G31870/AT4G12720/AT3G18690/AT5G47220/AT3G56400/AT3G15210" 6
